frame,slot,orientation,pose_notes,attempt,source_imagegen_path,raw_path,alpha_path,frame_path,promoted_path,holes_filled,hole_area,components_removed_area,status,notes
10,walk,right-facing side,"late crawl, tail follows with smooth S curve, feet planted cleanly",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dab95416c8191b1eb4befba855f0f.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-10-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-10-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-10.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-10.png,0,0,0,promoted_accepted_set00,
11,walk,right-facing side,"crawl cycle completes, body returns to neutral stance, all feet visible",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dabc2d5988191931c7cb18e490542.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-11-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-11-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-11.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-11.png,0,0,0,promoted_accepted_set00,
12,fast,right-facing side,"quick scamper start, body elongated, front half low and forward, tail straightening",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dabf514f08191805e49c75606bba6.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-12-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-12-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-12.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-12.png,0,0,0,promoted_accepted_set00,
13,fast,right-facing side,"quick scamper, two feet tucked close as one clean silhouette, head slightly lowered",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dac2157748191b4d29c6bd146bb56.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-13-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-13-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-13.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-13.png,1,5,0,promoted_accepted_set00,internal_alpha_holes_filled=1
14,fast,right-facing side,"quick scamper, body lifted just a little, tail sweeping back for balance",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dac4e635481919f91249c08b8c190.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-14-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-14-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-14.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-14.png,4,26,0,promoted_accepted_set00,internal_alpha_holes_filled=4
15,fast,right-facing side,"quick scamper, long stride with forelegs forward and hind legs extended",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dac7ed97c8191a7347e487a5fb4cb.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-15-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-15-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-15.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-15.png,1,15,0,promoted_accepted_set00,internal_alpha_holes_filled=1
16,fast,right-facing side,"quick scamper, compact recoil, belly low, toes connected with no tiny gaps",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dacb56bc08191b8d988c54153a0a8.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-16-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-16-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-16.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-16.png,0,0,0,promoted_accepted_set00,
17,fast,right-facing side,"quick scamper, head leading, tail curves opposite the stride",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dace6de408191a4e2cfe91e94485c.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-17-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-17-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-17.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-17.png,0,0,0,promoted_accepted_set00,
18,fast,right-facing side,"quick scamper deceleration, legs spreading back to stable stance",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dad1aa70081919f6bf15c6ac31c06.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-18-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-18-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-18.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-18.png,0,0,0,promoted_accepted_set00,
19,fast,right-facing side,"fast movement recovery, body shortens, tail settles behind",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0a358dcbebe261c7016a3dad50e210819195978583a341d1a2.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-19-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-19-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-19.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-19.png,0,0,0,promoted_accepted_set00,
20,sniff_nibble,right-facing side,"nose close to ground, neck slightly extended, front feet braced",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dad8f745c8191a00f4ec63db655fc.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-20-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-20-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-20.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-20.png,0,0,0,promoted_accepted_set00,
21,sniff_nibble,right-facing side,"sniffing a spot, head lower, tiny mouth closed, no object present",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dadc036708191a66a3bc350f0f688.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-21-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-21-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-21.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-21.png,0,0,0,promoted_accepted_set00,
22,sniff_nibble,right-facing side,"small nibble motion, jaw suggested by one simple line, feet planted",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dade04b288191b490759b5090c28e.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-22-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-22-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-22.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-22.png,2,66,0,promoted_accepted_set00,internal_alpha_holes_filled=2
23,sniff_nibble,right-facing side,"head rises a little after nibble, body still, tail relaxed",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dae0172348191a28f214a312454c4.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-23-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-23-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-23.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-23.png,1,6,0,promoted_accepted_set00,internal_alpha_holes_filled=1
24,sniff_nibble,right-facing side,"nose sweeps forward along the ground, one forefoot inches forward",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dae324d6481919966242e0459708e.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-24-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-24-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-24.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-24.png,0,0,0,promoted_accepted_set00,
25,sniff_nibble,right-facing side,"sniff slot resolves, head returns to neutral, full silhouette clean",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dae61d9f081918f346a6e8b1f8605.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-25-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-25-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-25.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-25.png,0,0,0,promoted_accepted_set00,
26,wall_cling_species_action,right-facing side,"species action: gecko lifts front body as if about to climb, toe pads spread but connected",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dae92dd588191a6d225726abbc106.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-26-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-26-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-26.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-26.png,1,28,0,promoted_accepted_set00,internal_alpha_holes_filled=1
27,wall_cling_species_action,right-facing side,"front feet press upward, chest raised, hind feet anchored low, tail stable",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daec73aa48191a807f2993cab4eca.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-27-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-27-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-27.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-27.png,0,0,0,promoted_accepted_set00,
28,wall_cling_species_action,right-facing side,"brief climb pose, body diagonal upward but fully inside frame, all limbs attached",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daef2d27c8191916dab19c1e4fd1d.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-28-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-28-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-28.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-28.png,1,19,0,promoted_accepted_set00,internal_alpha_holes_filled=1
29,wall_cling_species_action,right-facing side,"climb pause, head higher, tail bends down for counterbalance",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daf232c6c8191ac0b0cc5c9bc0267.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-29-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-29-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-29.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-29.png,2,56,0,promoted_accepted_set00,internal_alpha_holes_filled=2
30,wall_cling_species_action,right-facing side,"climb action eases down, front body lowering, feet still readable",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daf55767081919191ccc2be31cbea.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-30-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-30-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-30.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-30.png,1,171,0,promoted_accepted_set00,internal_alpha_holes_filled=1
31,wall_cling_species_action,right-facing side,"returns to ground stance, low body and complete tail",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daf8656a48191b05d67d71a715166.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-31-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-31-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-31.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-31.png,0,0,0,promoted_accepted_set00,
32,turn,three-quarter right,"turn phase start, head begins rotating toward viewer, body still mostly right-facing",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3dafbdab548191a6e5c864f19a5acf.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-32-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-32-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-32.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-32.png,0,0,0,promoted_accepted_set00,
33,turn,front-right three-quarter,"turn phase, shoulders rotate toward viewer, wider chest, both eyes subtly implied but single head only",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3daffa0af08191a8c23e77946a7445.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-33-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-33-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-33.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-33.png,0,0,0,promoted_accepted_set00,
34,turn,near-front/top three-quarter,"turn phase midpoint, compact top-down-leaning gecko silhouette, head centered, one face only",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db03259648191ba1f9641ed4c2443.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-34-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-34-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-34.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-34.png,0,0,0,promoted_accepted_set00,
35,turn,front-right three-quarter,"turn phase continuing, head starts turning back toward right, tail arcs smoothly",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db06b00808191a6ba09e95d748502.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-35-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-35-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-35.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-35.png,0,0,0,promoted_accepted_set00,
36,turn,three-quarter right,"turn phase, body rolls back into right-facing side view, feet reconnect to baseline",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db09595c08191a1865e63513d4273.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-36-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-36-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-36.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-36.png,0,0,0,promoted_accepted_set00,
37,turn,right-facing side,"right-facing side restored, tail still finishing the turn arc",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_0fa54353f9cbb504016a3db0c546ac8191a3daf588b89feadb.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-37-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-37-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-37.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-37.png,1,15,0,promoted_accepted_set00,internal_alpha_holes_filled=1
38,turn,right-facing side,"small follow-through, head checks forward, body low and stable",01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db1283e6881918472ceb9c50637ce.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-38-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-38-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-38.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-38.png,0,0,0,promoted_accepted_set00,
39,turn,right-facing side,turn slot resolves in neutral right-facing stance,01,/Users/kyota/.codex/generated_images/019efb9a-b711-77f2-b098-5dce8ddc678d/ig_00a58237dc671f13016a3db15002f88191a0653761a1c696b7.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/raw/frame-39-attempt-01-raw.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/alpha/frame-39-attempt-01-alpha.png,docs/art-source/one-frame-method-fullrun-20260626/gecko-set00-oneframe-62/frames/frame-39.png,docs/art-source/gecko/motion-source/accepted-frames/set00/frame-39.png,0,0,0,promoted_accepted_set00,
